hsa:645954;SVILP1;supervillin pseudogene 1
hsa:100874137;LINC00351;long intergenic non-protein coding RNA 351
hsa:100302161;MIR1205,MIRN1205,hsa-mir-1205;microRNA 1205
hsa:100422925;MIR4322;microRNA 4322
hsa:100616358;MIR4800;microRNA 4800
hsa:100616480;MIR4479;microRNA 4479
hsa:100616274;MIR4802;microRNA 4802
hsa:574472;MIR518F,MIRN518F;microRNA 518f
hsa:100302281;MIR1208,MIRN1208,hsa-mir-1208;microRNA 1208
hsa:100422976;MIR4256;microRNA 4256
hsa:100616151;MIR4480;microRNA 4480
hsa:100616377;MIR4803;microRNA 4803
hsa:100313914;MIR548J,MIRN548J,hsa-mir-548j;microRNA 548j
hsa:100616320;MIR4481;microRNA 4481
hsa:100422997;MIR4257;microRNA 4257
hsa:100616152;MIR4804;microRNA 4804
hsa:100302118;MIR1286,MIRN1286,hsa-mir-1286;microRNA 1286
hsa:100422894;MIR4260;microRNA 4260
hsa:100616323;MIR4482-1,MIR4482,hsa-mir-4482-1;microRNA 4482-1
hsa:100847049;MIR4999;microRNA 4999
hsa:406882;MIRLET7A2,LET7A2,MIRNLET7A2,let-7a-2;microRNA let-7a-2
hsa:574475;MIR526A1,MIRN526A-1,MIRN526A1;microRNA 526a-1
hsa:100422914;MIR4253;microRNA 4253
hsa:100846995;MIR5000;microRNA 5000
hsa:100616162;MIR4483;microRNA 4483
hsa:100302125;MIR1289-1,MIRN1289-1,hsa-mir-1289-1;microRNA 1289-1
hsa:100423028;MIR4254;microRNA 4254
hsa:100616327;MIR4484;microRNA 4484
hsa:100847037;MIR5001;microRNA 5001
hsa:574477;MIR518C,MIRN518C;microRNA 518c
hsa:100302134;MIR1289-2,MIRN1289-2,hsa-mir-1289-2;microRNA 1289-2
hsa:100422898;MIR4255;microRNA 4255
hsa:100847021;MIR5002;microRNA 5002
hsa:100422975;MIR4252;microRNA 4252
hsa:100616222;MIR4487;microRNA 4487
hsa:100847029;MIR5003;microRNA 5003
hsa:100302221;MIR1291,MIRN1291,hsa-mir-1291;microRNA 1291
hsa:100422883;MIR4325;microRNA 4325
hsa:100616470;MIR4488;microRNA 4488
hsa:100847012;MIR5004;microRNA 5004
hsa:406887;MIRLET7E,MIRNLET7E,hsa-let-7e,let-7e;microRNA let-7e
hsa:100313770;MIR548K,MIRN548K;microRNA 548k
hsa:100422945;MIR4326;microRNA 4326
hsa:100847068;MIR548AO;microRNA 548ao
hsa:100616284;MIR4489;microRNA 4489
hsa:406888;MIRLET7F1,LET7F1,MIRNLET7F1,let-7f-1;microRNA let-7f-1
hsa:574481;MIR521-2,MIRN521-2;microRNA 521-2
hsa:100302181;MIR1294,MIRN1294,hsa-mir-1294;microRNA 1294
hsa:100422891;MIR4327;microRNA 4327
hsa:100616215;MIR548AL;microRNA 548al
hsa:406889;MIRLET7F2,LET7F2,MIRNLET7F2,let-7f-2;microRNA let-7f-2
hsa:574482;MIR520D,MIRN520D;microRNA 520d
hsa:100302178;MIR1295A,MIR1295,MIRN1295,hsa-mir-1295,hsa-mir-1295a;microRNA 1295a
hsa:100616186;MIR4490;microRNA 4490
hsa:100422929;MIR4261;microRNA 4261
hsa:100847026;MIR5006;microRNA 5006
hsa:100422863;MIR4265;microRNA 4265
hsa:100616330;MIR4491;microRNA 4491
hsa:100846996;MIR5007;microRNA 5007
hsa:574484;MIR520G,MIRN520G;microRNA 520g
hsa:100302167;MIR1299,MIRN1299,hsa-mir-1299;microRNA 1299
hsa:100423027;MIR4266;microRNA 4266
hsa:100616376;MIR4492;microRNA 4492
hsa:406981;MIR19B2,MIRN19B2,miR-19b-2;microRNA 19b-2
hsa:574485;MIR516B2,MIRN516-3,MIRN516B-2,MIRN516B2;microRNA 516b-2
hsa:100302275;MIR548L,MIRN548L,hsa-mir-548l;microRNA 548l
hsa:100422994;MIR4267;microRNA 4267
hsa:100616319;MIR4493;microRNA 4493
hsa:100847072;MIR5008;microRNA 5008
hsa:574486;MIR526A2,MIRN526A-2,MIRN526A2;microRNA 526a-2
hsa:100302227;MIR1302-1,MIRN1302-1,hsa-mir-1302-1;microRNA 1302-1
hsa:100422996;MIR4262;microRNA 4262
hsa:100616478;MIR4494;microRNA 4494
hsa:100846993;MIR5009;microRNA 5009
hsa:574487;MIR518E,MIRN518E;microRNA 518e
hsa:100302128;MIR1302-3,MIRN1302-3,hsa-mir-1302-3;microRNA 1302-3
hsa:100616287;MIR4495;microRNA 4495
hsa:100423036;MIR2355;microRNA 2355
hsa:100847046;MIR5010;microRNA 5010
hsa:574488;MIR518A1,MIRN518A-1,MIRN518A1;microRNA 518a-1
hsa:100302130;MIR1302-4,MIRN1302-4,hsa-mir-1302-4;microRNA 1302-4
hsa:100422959;MIR4268;microRNA 4268
hsa:100616240;MIR4496;microRNA 4496
hsa:100847002;MIR5011;microRNA 5011
hsa:574489;MIR518D,MIRN518D;microRNA 518d
hsa:100302146;MIR1302-5,MIRN1302-5,hsa-mir-1302-5;microRNA 1302-5
hsa:100423043;MIR4269;microRNA 4269
hsa:100616408;MIR5047;microRNA 5047
hsa:100616454;MIR4497;microRNA 4497
hsa:574490;MIR516B1,MIRN516-4,MIRN516B-1,MIRN516B1;microRNA 516b-1
hsa:100422965;MIR4263;microRNA 4263
hsa:100302140;MIR1302-6,MIRN1302-6,hsa-mir-1302-6;microRNA 1302-6
hsa:100616179;MIR4498;microRNA 4498
hsa:100847044;MIR5087;microRNA 5087
hsa:574491;MIR518A2,MIRN518A-2,MIRN518A2;microRNA 518a-2
hsa:100422888;MIR4264;microRNA 4264
hsa:100302147;MIR1302-7,MIRN1302-7,hsa-mir-1302-7;microRNA 1302-7
hsa:100616298;MIR4419B;microRNA 4419b
hsa:100847074;MIR5088;microRNA 5088
hsa:574492;MIR517C,MIRN517C;microRNA 517c
hsa:100302223;MIR1302-8,MIRN1302-8,hsa-mir-1302-8;microRNA 1302-8
hsa:100422868;MIR4270;microRNA 4270
hsa:100847067;MIR5089;microRNA 5089
hsa:100616304;MIR4499;microRNA 4499
hsa:100302284;MIR1303,MIRN1303,hsa-mir-1303;microRNA 1303
hsa:100422952;MIR4271;microRNA 4271
hsa:100616182;MIR4500;microRNA 4500
hsa:100847073;MIR5090;microRNA 5090
hsa:574494;MIR521-1,MIRN521-1;microRNA 521-1
hsa:100302240;MIR1304,MIRN1304,hsa-mir-1304;microRNA 1304
hsa:100422941;MIR4272;microRNA 4272
hsa:100616137;MIR4501;microRNA 4501
hsa:100847023;MIR5091;microRNA 5091
hsa:574495;MIR522,MIRN522,hsa-mir-522;microRNA 522
hsa:100422955;MIR4273;microRNA 4273
hsa:100302270;MIR1305,MIRN1305,hsa-mir-1305;microRNA 1305
hsa:100616227;MIR4502;microRNA 4502
hsa:100847039;MIR5092;microRNA 5092
hsa:100302192;MIR548F1,MIR548F-1,MIRN548F1,hsa-mir-548f-1;microRNA 548f-1
hsa:100616280;MIR4503;microRNA 4503
hsa:100423042;MIR4276;microRNA 4276
hsa:100847022;MIR5093;microRNA 5093
hsa:574497;MIR527,MIRN527,hsa-mir-527;microRNA 527
hsa:100422937;MIR4275;microRNA 4275
hsa:100313771;MIR548F2,MIR548F-2,MIRN548F2,hsa-mir-548f-2;microRNA 548f-2
hsa:100616261;MIR4504;microRNA 4504
hsa:100847059;MIR5094;microRNA 5094
hsa:574498;MIR516A1,MIRN516-1,MIRN516A-1,MIRN516A1;microRNA 516a-1
hsa:100302159;MIR548F3,MIR548F-3,MIRN548F3,hsa-mir-548f-3;microRNA 548f-3
hsa:100422826;MIR4274;microRNA 4274
hsa:100616158;MIR4505;microRNA 4505
hsa:100616458;MIR5095;microRNA 5095
hsa:574499;MIR516A2,MIRN516-2,MIRN516A-2,MIRN516A2;microRNA 516a-2
hsa:100422962;MIR4281;microRNA 4281
hsa:100313895;MIR548F4,MIR548F-4,MIRN548F4,hsa-mir-548f-4;microRNA 548f-4
hsa:100616140;MIR4506;microRNA 4506
hsa:100616156;MIR1273F;microRNA 1273f
hsa:100302239;MIR548F5,MIR548F-5,MIRN548F5,hsa-mir-548f-5;microRNA 548f-5
hsa:100422966;MIR4277;microRNA 4277
hsa:100616495;MIR2392;microRNA 2392
hsa:100616145;MIR1273G;microRNA 1273g
hsa:100422999;MIR4278;microRNA 4278
hsa:100616135;MIR4507;microRNA 4507
hsa:100616427;MIR5096;microRNA 5096
hsa:574502;MIR500A,MIR500,MIRN500,hsa-mir-500,hsa-mir-500a;microRNA 500a
hsa:100422887;MIR4280;microRNA 4280
hsa:100847036;MIR5186;microRNA 5186
hsa:100616275;MIR4508;microRNA 4508
hsa:574503;MIR501,MIRN501,hsa-mir-501;microRNA 501
hsa:100302145;MIR1247,MIRN1247,hsa-mir-1247;microRNA 1247
hsa:100423005;MIR4282;microRNA 4282
hsa:100616223;MIR4509-1;microRNA 4509-1
hsa:100847090;MIR5187;microRNA 5187
hsa:100422858;MIR4285;microRNA 4285
hsa:100302143;MIR1248,MIRN1248,hsa-mir-1248;microRNA 1248
hsa:100616228;MIR4509-2;microRNA 4509-2
hsa:100847004;MIR5188;microRNA 5188
hsa:574505;MIR450A2,MIRN450-2,MIRN450A-2,MIRN450A2;microRNA 450a-2
hsa:100302149;MIR1249,MIRN1249,hsa-mir-1249;microRNA 1249
hsa:100422917;MIR4283-1;microRNA 4283-1
hsa:100616382;MIR4509-3;microRNA 4509-3
hsa:100847057;MIR5189;microRNA 5189
hsa:100302289;MIR1251,MIRN1251,hsa-mir-1251;microRNA 1251
hsa:100422948;MIR4284;microRNA 4284
hsa:100847080;MIR5190;microRNA 5190
hsa:100616293;MIR4510;microRNA 4510
hsa:100302208;MIR1253,MIRN1253,hsa-mir-1253;microRNA 1253
hsa:100422982;MIR4286;microRNA 4286
hsa:100847050;MIR5191;microRNA 5191
hsa:407025;MIR29B2,MIRN29B2,mir-29b-2;microRNA 29b-2
hsa:100422828;MIR4287;microRNA 4287
hsa:100616149;MIR4512;microRNA 4512
hsa:100847087;MIR5192;microRNA 5192
hsa:406896;MIR103A2,MIR103-2,MIRN103-2;microRNA 103a-2
hsa:574509;MIR513A1,MIRN513-1,MIRN513A1;microRNA 513a-1
hsa:100302193;MIR1255A,MIRN1255A,hsa-mir-1255a;microRNA 1255a
hsa:100423015;MIR4289;microRNA 4289
hsa:100616183;MIR4513;microRNA 4513
hsa:100847079;MIR5193;microRNA 5193
hsa:574510;MIR513A2,MIRN513-2,MIRN513A-2,MIRN513A2,hsa-mir-513a-2;microRNA 513a-2
hsa:100302155;MIR1256,MIRN1256,hsa-mir-1256;microRNA 1256
hsa:100422963;MIR4290;microRNA 4290
hsa:100616181;MIR4514;microRNA 4514
hsa:100847051;MIR5194;microRNA 5194
hsa:406897;MIR105-1,MIRN105-1;microRNA 105-1
hsa:100302168;MIR1257,MIRN1257,hsa-mir-1257;microRNA 1257
hsa:100422927;MIR4291;microRNA 4291
hsa:100616404;MIR4515;microRNA 4515
hsa:406898;MIR105-2,MIRN105-2;microRNA 105-2
hsa:574512;MIR507,MIRN507,hsa-mir-507;microRNA 507
hsa:100423009;MIR4329;microRNA 4329
hsa:100616258;MIR4516;microRNA 4516
hsa:100847070;MIR5196;microRNA 5196
hsa:100302236;MIR1260A,MIR1260,MIRN1260,hsa-mir-1260,hsa-mir-1260a;microRNA 1260a
hsa:100422930;MIR4330;microRNA 4330
hsa:100616487;MIR4517;microRNA 4517
hsa:100846991;MIR5197;microRNA 5197
hsa:406951;MIR16-2,MIRN16-2,mir-16-3;microRNA 16-2
hsa:100422911;MIR500B;microRNA 500b
hsa:100616405;MIR4518;microRNA 4518
hsa:100847033;MIR4436B2;microRNA 4436b-2
hsa:574515;MIR510,MIRN510,hsa-mir-510;microRNA 510
hsa:100422932;MIR4328;microRNA 4328
hsa:100302279;MIR1262,MIRN1262,hsa-mir-1262;microRNA 1262
hsa:100616231;MIR4519;microRNA 4519
hsa:574516;MIR514A1,MIR514-1,MIRN514-1,hsa-mir-514a-1;microRNA 514a-1
hsa:100302148;MIR1263,MIRN1263,hsa-mir-1263;microRNA 1263
hsa:100616401;MIR4520A;microRNA 4520a
hsa:100422985;MIR1184-2;microRNA 1184-2
hsa:100846994;MIR3670-2;microRNA 3670-2
hsa:574517;MIR514A2,MIR514-2,MIRN514-2,hsa-mir-514a-2;microRNA 514a-2
hsa:100313772;MIR548M,MIRN548M;microRNA 548m
hsa:100422977;MIR1184-3;microRNA 1184-3
hsa:100616406;MIR4521;microRNA 4521
hsa:100847041;MIR3680-2;microRNA 3680-2
hsa:574518;MIR514A3,MIR514-3,MIRN514-3,hsa-mir-514a-3;microRNA 514a-3
hsa:100302116;MIR1265,MIRN1265,hsa-mir-1265;microRNA 1265
hsa:100422845;MIR1233-2;microRNA 1233-2
hsa:100616494;MIR1269B;microRNA 1269b
hsa:100847008;MIR4524B;microRNA 4524b
hsa:100313829;MIR548O,MIRN548O;microRNA 548o
hsa:100422885;MIR1244-2;microRNA 1244-2
hsa:100616277;MIR4522;microRNA 4522
hsa:619556;MIR455,MIRN455,hsa-mir-455;microRNA 455
hsa:100302202;MIR1266,MIRN1266,hsa-mir-1266;microRNA 1266
hsa:100422831;MIR1302-9;microRNA 1302-9
hsa:100616122;MIR4523;microRNA 4523
hsa:100847014;MIR5100;microRNA 5100
hsa:664612;MIR539,MIRN539,hsa-mir-539;microRNA 539
hsa:100302286;MIR1267,MIRN1267,hsa-mir-1267;microRNA 1267
hsa:100422919;MIR1302-11;microRNA 1302-11
hsa:100616316;MIR4524A,MIR4524,hsa-mir-4524a;microRNA 4524a
hsa:664613;MIR544A,MIR544,MIRN544,hsa-mir-544,hsa-mir-544a;microRNA 544a
hsa:100302233;MIR1268A,MIR1268,MIRN1268,hsa-mir-1268,hsa-mir-1268a;microRNA 1268a
hsa:100422906;MIR3118-6;microRNA 3118-6
hsa:100616196;MIR4525;microRNA 4525
hsa:100847078;MIR548AQ;microRNA 548aq
hsa:664614;MIR545,MIRN545,hsa-mir-545;microRNA 545
hsa:100422848;MIR4283-2;microRNA 4283-2
hsa:100302177;MIR1269A,MIR1269,MIRN1269,hsa-mir-1269,hsa-mir-1269a;microRNA 1269a
hsa:100616130;MIR4526;microRNA 4526
hsa:100847035;MIR548AR;microRNA 548ar
hsa:407033;MIR30D,MIRN30D;microRNA 30d
hsa:664615;MIR376A2,MIR376A-2,MIRN376A-2,MIRN376A2;microRNA 376a-2
hsa:100302184;MIR1272,MIRN1272,hsa-mir-1272;microRNA 1272
hsa:100422961;MIR4315-2;microRNA 4315-2
hsa:100616264;MIR4527;microRNA 4527
hsa:100847092;MIR548AS;microRNA 548as
hsa:100302165;MIR1273A,MIR1273,MIRN1273,hsa-mir-1273,hsa-mir-1273a;microRNA 1273a
hsa:100500853;MIR3605;microRNA 3605
hsa:100616290;MIR4529;microRNA 4529
hsa:100847000;MIR5579;microRNA 5579
hsa:100313830;MIR548H1,MIR548H-1,MIRN548H1;microRNA 548h-1
hsa:100500837;MIR3606;microRNA 3606
hsa:100616163;MIR4530;microRNA 4530
hsa:100847052;MIR644B;microRNA 644b
hsa:407044;MIR7-2,MIRN7-2,hsa-mir-7-2,mir-7-2;microRNA 7-2
hsa:693137;MIR552,MIRN552,hsa-mir-552;microRNA 552
hsa:100500805;MIR3607;microRNA 3607
hsa:100616355;MIR4531;microRNA 4531
hsa:407045;MIR7-3,MIRN7-3,hsa-mir-7-3,mir-7-3;microRNA 7-3
hsa:100847076;MIR5580;microRNA 5580
hsa:693138;MIR553,MIRN553,hsa-mir-553;microRNA 553
hsa:100302121;MIR1276,MIRN1276,hsa-mir-1276;microRNA 1276
hsa:100616353;MIR4532;microRNA 4532
hsa:100847010;MIR5581;microRNA 5581
hsa:693139;MIR554,MIRN554,hsa-mir-554;microRNA 554
hsa:100313774;MIR302E,MIRN302E;microRNA 302e
hsa:100500890;MIR3611;microRNA 3611
hsa:100616362;MIR4533;microRNA 4533
hsa:100847030;MIR548AT;microRNA 548at
hsa:693140;MIR555,MIRN555,hsa-mir-555;microRNA 555
hsa:100302131;MIR302F,MIRN302F,hsa-mir-302f;microRNA 302f
hsa:100500817;MIR3612;microRNA 3612
hsa:100616146;MIR4534;microRNA 4534
hsa:100847020;MIR5582;microRNA 5582
hsa:693141;MIR556,MIRN556,hsa-mir-556;microRNA 556
hsa:100302288;MIR548P,MIRN548P,hsa-mir-548p;microRNA 548p
hsa:100616259;MIR378I;microRNA 378i
hsa:100500827;MIR3614;microRNA 3614
hsa:100847025;MIR5583-1;microRNA 5583-1
hsa:693142;MIR557,MIRN557,hsa-mir-557;microRNA 557
hsa:100302204;MIR548I1,MIR548I-1,MIRN548I1,hsa-mir-548i-1;microRNA 548i-1
hsa:100500847;MIR3615;microRNA 3615
hsa:100616415;MIR4535;microRNA 4535
hsa:100846997;MIR5583-2;microRNA 5583-2
hsa:693143;MIR558,MIRN558,hsa-mir-558;microRNA 558
hsa:100302277;MIR548I2,MIR548I-2,MIRN548I2,hsa-mir-548i-2;microRNA 548i-2
hsa:100500814;MIR3616;microRNA 3616
hsa:100847089;MIR5584;microRNA 5584
hsa:100616428;MIR548AM;microRNA 548am
hsa:693146;MIR561,MIRN561,hsa-mir-561;microRNA 561
hsa:100302186;MIR548I3,MIR548I-3,MIRN548I3,hsa-mir-548i-3;microRNA 548i-3
hsa:100500897;MIR3617;microRNA 3617
hsa:100616251;MIR1587;microRNA 1587
hsa:100847018;MIR5585;microRNA 5585
hsa:693148;MIR563,MIRN563,hsa-mir-563;microRNA 563
hsa:100302191;MIR548I4,MIR548I-4,MIRN548I4,hsa-mir-548i-4;microRNA 548i-4
hsa:100500860;MIR3618;microRNA 3618
hsa:100847088;MIR5586;microRNA 5586
hsa:100616144;MIR548AN;microRNA 548an
hsa:100302163;MIR1278,MIRN1278,hsa-mir-1278;microRNA 1278
hsa:100616278;MIR4540;microRNA 4540
hsa:100500828;MIR3619;microRNA 3619
hsa:100847028;MIR5587;microRNA 5587
hsa:693151;MIR566,MIRN566,hsa-mir-566;microRNA 566
hsa:100302182;MIR1279,MIRN1279,hsa-mir-1279;microRNA 1279
hsa:100500809;MIR23C,hsa-mir-23c;microRNA 23c
hsa:100847045;MIR548AU;microRNA 548au
hsa:100616188;MIR3972;microRNA 3972
hsa:100302237;MIR1281,MIRN1281,hsa-mir-1281;microRNA 1281
hsa:693152;MIR567,MIRN567,hsa-mir-567;microRNA 567
hsa:100500810;MIR3620;microRNA 3620
hsa:100847009;MIR1295B;microRNA 1295b
hsa:100616311;MIR3973;microRNA 3973
hsa:693136;MIR551B,MIRN551B;microRNA 551b
hsa:100302254;MIR1282,MIRN1282,hsa-mir-1282;microRNA 1282
hsa:100500811;MIR3621;microRNA 3621
hsa:100616279;MIR3974;microRNA 3974
hsa:100847093;MIR5589;microRNA 5589
hsa:100302205;MIR1283-2,MIRN1283-2,hsa-mir-1283-2;microRNA 1283-2
hsa:693154;MIR569,MIRN569,hsa-mir-569;microRNA 569
hsa:100500858;MIR3622A;microRNA 3622a
hsa:100847069;MIR5590;microRNA 5590
hsa:100616257;MIR3975;microRNA 3975
hsa:693155;MIR570,MIRN570,hsa-mir-570;microRNA 570
hsa:100302136;MIR1252,MIRN1252,hsa-mir-1252;microRNA 1252
hsa:100500871;MIR3622B;microRNA 3622b
hsa:100616244;MIR3976;microRNA 3976
hsa:100847065;MIR5591;microRNA 5591
hsa:100313806;MIR1255B1,MIR1255B-1,MIRN1255B1;microRNA 1255b-1
hsa:100500813;MIR3646;microRNA 3646
hsa:100616297;MIR3977;microRNA 3977
hsa:100847083;MIR548AV;microRNA 548av
hsa:693157;MIR572,MIRN572,hsa-mir-572;microRNA 572
hsa:100313835;MIR1255B2,MIR1255B-2,MIRN1255B2,hsa-mir-1255b-2;microRNA 1255b-2
hsa:100616491;MIR3978;microRNA 3978
hsa:100500862;MIR3648;microRNA 3648
hsa:100847001;MIR5680;microRNA 5680
hsa:693158;MIR573,MIRN573,hsa-mir-573;microRNA 573
hsa:100616175;MIR4633;microRNA 4633
hsa:100500816;MIR3649;microRNA 3649
hsa:100847058;MIR5681A;microRNA 5681a
hsa:100302234;MIR664,MIRN664,hsa-mir-664;microRNA 664
hsa:100500824;MIR3650;microRNA 3650
hsa:100847043;MIR5682;microRNA 5682
hsa:100616202;MIR4634;microRNA 4634
hsa:497259;C18orf61;uncharacterized LOC497259
hsa:100874392;ANKRD20A12P;ankyrin repeat domain 20 family, member A12, pseudogene
hsa:574470;MIR525,MIRN525,hsa-mir-525;microRNA 525
hsa:574471;MIR523,MIRN523,hsa-mir-523;microRNA 523
hsa:100302170;MIR1206,MIRN1206,hsa-mir-1206;microRNA 1206
hsa:100422979;MIR4324;microRNA 4324
hsa:100616488;MIR548AK;microRNA 548ak
hsa:100616435;MIR4801;microRNA 4801
hsa:100874168;LINC00433;long intergenic non-protein coding RNA 433
hsa:100874173;LINC00443;long intergenic non-protein coding RNA 443
hsa:100861554;LINC00563;long intergenic non-protein coding RNA 563
hsa:100101266;HAVCR1P1;hepatitis A virus cellular receptor 1 pseudogene 1
hsa:711;ERC2-IT1,C1orf1,C3orf51,Po42;ERC2 intronic transcript 1 (non-protein coding)
hsa:100874175;LINC00446;long intergenic non-protein coding RNA 446
hsa:100861555;LINC00565;long intergenic non-protein coding RNA 565
hsa:3136;HLA-H,HLAHP;major histocompatibility complex, class I, H (pseudogene)
hsa:23359;FAM189A1,TMEM228;family with sequence similarity 189, member A1
hsa:690;BTF3P11,BTF3L1,HUMBTFB,OCIF,OPG,TNFRSF11B;basic transcription factor 3 pseudogene 11
hsa:692109;SNORD69,HBII-210;small nucleolar RNA, C/D box 69
hsa:151325;MYADML;myeloid-associated differentiation marker-like (pseudogene)
hsa:100874139;LINC00353;long intergenic non-protein coding RNA 353
hsa:378805;FLJ43663;uncharacterized LOC378805
hsa:80070;ADAMTS20,ADAM-TS20,ADAMTS-20,GON-1;ADAM metallopeptidase with thrombospondin type 1 motif, 20
hsa:100113381;SNORD19B;small nucleolar RNA, C/D box 19B
hsa:57653;;LOC100499484-C9orf174 readthrough
hsa:100302246;MIR1301,MIRN1301,hsa-mir-1301;microRNA 1301
hsa:406895;MIR103A1,MIR103-1,MIRN103-1;microRNA 103a-1
hsa:677810;SNORA26,HBI-6;small nucleolar RNA, H/ACA box 26
hsa:442896;MIR302D,MIRN302D;microRNA 302d
hsa:100874326;DSCAM-IT1,zag4;DSCAM intronic transcript 1 (non-protein coding)
hsa:100874300;SYNJ2-IT1;SYNJ2 intronic transcript 1 (non-protein coding)
hsa:100874309;EPN2-IT1;EPN2 intronic transcript 1 (non-protein coding)
hsa:100874275;EMCN-IT3;EMCN intronic transcript 3 (non-protein coding)
hsa:100874052;LINC00534;long intergenic non-protein coding RNA 534
hsa:100874188;LINC00571;long intergenic non-protein coding RNA 571
hsa:100874179;LINC00457;long intergenic non-protein coding RNA 457
hsa:122706;PSMB11,BETA5T;proteasome (prosome, macropain) subunit, beta type, 11 (EC:3.4.25.1)
hsa:100126351;MIR939,MIRN939,hsa-mir-939;microRNA 939
hsa:401258;RAB44,RASD3,RASL13,dJ431A14.3;RAB44, member RAS oncogene family
hsa:645090;CXorf30;chromosome X open reading frame 30
hsa:131544;CRYBG3,DKFZp667G2110;beta-gamma crystallin domain containing 3
hsa:100288615;WHAMMP1,WHDC1P1;WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 1
hsa:100507674;MARK2P9;MAP/microtubule affinity-regulating kinase 2 pseudogene 9
hsa:100616668;TPTE2P5;transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 5
hsa:26030;PLEKHG3,ARHGEF43,KIAA0599;pleckstrin homology domain containing, family G (with RhoGef domain) member 3
hsa:646658;SYNDIG1L,CAPUCIN,DSPC1,IFITMD4,TMEM90A;synapse differentiation inducing 1-like
hsa:285527;FRYL,KIAA0826;FRY-like
hsa:693214;MIR629,MIRN629,hsa-mir-629;microRNA 629
hsa:414778;HCG17,LINC00046,NCRNA00046;HLA complex group 17 (non-protein coding)
hsa:54064;LINC00160,C21orf52,NCRNA00160;long intergenic non-protein coding RNA 160
hsa:55370;PPP4R1L,C20orf192,PRO1085;protein phosphatase 4, regulatory subunit 1-like
hsa:100169989;DBIL5P2,ELP1P;diazepam binding inhibitor-like 5 pseudogene 2
hsa:100462953;MINOS1P1,CG012,N4BP2L2-IT,N4BP2L2-IT1,N4BP2L2IT1;mitochondrial inner membrane organizing system 1 pseudogene 1
hsa:132241;RPL32P3;ribosomal protein L32 pseudogene 3
hsa:100131454;DBIL5P,ELP2P;diazepam binding inhibitor-like 5, pseudogene
hsa:392364;;nuclear pore associated protein 1 pseudogene
hsa:729603;;calcium binding protein P22 pseudogene
hsa:100158262;SCARNA9L;small Cajal body-specific RNA 9-like
hsa:100124536;SNORA38B;small nucleolar RNA, H/ACA box 38B
hsa:100124535;SNORA36C;small nucleolar RNA, H/ACA box 36C
hsa:100379141;SNORA70D,U70D;small nucleolar RNA, H/ACA box 70D
hsa:100124538;SNORA70C,U70C;small nucleolar RNA, H/ACA box 70C
hsa:100124539;SNORA11B;small nucleolar RNA, H/ACA box 11B
hsa:100124540;SNORA11C;small nucleolar RNA, H/ACA box 11C
hsa:100337591;SNORA70F,U70F;small nucleolar RNA, H/ACA box 70F
hsa:100379250;SNORA70E,U70E;small nucleolar RNA, H/ACA box 70E
hsa:100379132;SNORA70G,U70G;small nucleolar RNA, H/ACA box 70G
hsa:100124537;SNORA70B;small nucleolar RNA, H/ACA box 70B
hsa:492311;IGIP,C5orf53;IgA-inducing protein homolog (Bos taurus)
hsa:83900;KRTAP9-3,KAP9.3,KRTAP9.3;keratin associated protein 9-3
hsa:26167;PCDHB5,PCDH-BETA5;protocadherin beta 5
hsa:81557;MAGED4B;melanoma antigen family D, 4B
hsa:407037;MIR320A,MIRN320,MIRN320A,hsa-mir-320a;microRNA 320a
hsa:752014;CEMP1,CP-23,CP23;cementum protein 1
hsa:758;MPPED1,239AB,C22orf1,FAM1A;metallophosphoesterase domain containing 1
hsa:1004;CDH6,CAD6,KCAD;cadherin 6, type 2, K-cadherin (fetal kidney)
hsa:1265;CNN2;calponin 2
hsa:342;APOC1P1;apolipoprotein C-I pseudogene 1
hsa:416;ARSF,ASF;arylsulfatase F (EC:3.1.6.-)
hsa:2749;GLUD1P3,C10orf102,Em:AC022400.11,GLUDP3,RP11-574K11.12;glutamate dehydrogenase 1 pseudogene 3
hsa:1203;CLN5,NCL;ceroid-lipofuscinosis, neuronal 5
hsa:247;ALOX15B,15-LOX-2;arachidonate 15-lipoxygenase, type B (EC:1.13.11.33)
hsa:344;APOC2,APO-CII,APOC-II;apolipoprotein C-II
hsa:1260;CNGA2,CNCA,CNCA1,CNG2,OCNC1,OCNCALPHA,OCNCa;cyclic nucleotide gated channel alpha 2
hsa:1262;CNGA4,CNCA2,CNG-4,CNG4,CNG5,CNGB2,OCNC2,OCNCBETA,OCNCb;cyclic nucleotide gated channel alpha 4
hsa:29;ABR,MDB;active BCR-related
hsa:631;BFSP1,CP115,CP94,LIFL-H;beaded filament structural protein 1, filensin
hsa:513;ATP5D;ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit (EC:3.6.1.14)
hsa:757;TMEM50B,C21orf4,HCVP7TP3;transmembrane protein 50B
hsa:388394;RPRML;reprimo-like
hsa:389247;;uncharacterized LOC389247
hsa:399833;SPRNP1;shadow of prion protein homolog (zebrafish) pseudogene 1
hsa:577;BAI3;brain-specific angiogenesis inhibitor 3
hsa:100134368;;uncharacterized LOC100134368
hsa:734;OSGIN2,C8orf1,hT41;oxidative stress induced growth inhibitor family member 2
